district,block,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size,census_literacy_rate_7plus,census_male_female_literacy_gap_pp,census_sex_ratio,census_sc_pct,census_st_pct,census_work_participation_rate,census_agri_labour_share_of_workers,census_marginal_worker_share,census_total_population_person,census_rural_share_pct
Chamarajanagara,B0050 gundlupet,9274,50.02,27.94,10.0,85.0,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.35,13.4,1008.0,20.09,11.43,50.83,71.6,14.35,194965.0,100.0
Chamarajanagara,B0054 hanur,5741,49.66,28.1,10.0,90.0,4.94,203.0,180.0,88.67,11.33,95.07,16587.0,11807.0,572.0,20.64,49.3,54.72,92.78,99.44,58.89,95.56,24.44,15.0,90.56,97.22,95.0,90.0,2.84,1.5,3.07,0.99,6.62,4.81,239.35,65.6,,,,,,,,,,
Chamarajanagara,B0080 kollegala,4914,51.08,27.4,10.0,90.0,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.62,13.24,967.2,28.77,11.4,50.44,55.92,24.99,289638.0,100.0
Chamarajanagara,B0142 yelandur,2577,48.3,26.55,10.0,85.0,6.67,74.0,63.0,85.14,14.86,86.49,6780.0,5293.0,253.0,20.92,54.55,62.06,100.0,100.0,69.84,96.83,22.22,15.87,98.41,100.0,100.0,88.89,6.78,2.02,5.48,1.43,11.59,6.94,234.12,84.0,59.98,9.39,992.3,36.76,15.24,43.21,45.31,31.24,73290.0,100.0
Chikkaballapura,B0010 bagepally,6830,42.52,27.18,5.0,80.0,1.19,284.0,245.0,86.27,13.73,92.96,20527.0,9151.0,422.0,21.68,43.6,68.25,99.59,100.0,66.12,95.51,22.04,3.67,67.76,95.51,86.94,94.69,3.35,1.31,2.18,0.51,3.93,2.67,204.27,37.4,58.7,17.49,980.8,28.66,18.16,55.65,67.95,18.1,156487.0,96.22
Chikkaballapura,B0030 chikkaballapur,7277,52.1,27.09,15.0,90.0,4.57,287.0,240.0,83.62,16.38,85.37,27209.0,9912.0,577.0,17.18,56.33,67.07,100.0,100.0,50.0,96.67,13.75,6.67,62.5,92.5,87.08,94.58,2.13,1.36,2.86,0.15,3.05,3.1,236.19,41.3,69.47,15.62,940.5,30.49,11.07,53.3,63.35,15.75,148884.0,100.0
Chikkaballapura,B0034 chintamani,8631,52.68,28.73,10.0,90.0,3.94,397.0,343.0,86.4,13.35,86.9,36170.0,13376.0,931.0,14.37,47.37,52.2,99.13,98.54,41.4,93.88,14.58,7.58,57.14,93.29,82.8,90.67,4.19,1.3,2.76,0.78,7.86,4.36,228.79,39.0,68.34,14.6,977.2,27.88,12.87,53.66,67.58,12.35,222002.0,100.0
Chikkaballapura,B0047 gudibanda,2550,46.45,27.03,10.0,85.0,1.7,104.0,96.0,92.31,7.69,90.38,5177.0,4120.0,237.0,17.38,47.68,69.2,100.0,100.0,38.54,77.08,20.83,4.17,81.25,89.58,84.38,95.83,6.52,1.49,2.98,0.67,8.27,5.16,229.51,42.9,63.47,16.17,977.2,26.4,15.16,57.78,69.82,19.67,46391.0,100.0
Chikkaballapura,B0124 sidlaghatta,7596,49.04,27.35,10.0,85.0,2.3,298.0,253.0,84.9,15.1,87.58,25682.0,11177.0,623.0,17.94,48.96,66.61,99.21,98.81,51.38,94.86,32.02,7.51,62.45,89.33,87.35,92.09,7.26,1.34,2.68,1.46,5.82,5.17,231.04,44.2,68.04,15.07,967.0,26.63,11.27,51.67,63.81,11.88,163010.0,100.0
Chikkaballapura,B0167 gowribidanur,3451,45.08,27.6,10.0,85.0,2.62,333.0,293.0,87.99,12.01,89.49,32443.0,16505.0,863.0,19.13,41.14,50.64,100.0,99.66,65.87,93.17,52.56,9.9,62.8,95.22,98.29,91.47,3.17,1.5,3.04,1.01,7.24,4.7,235.83,56.3,67.86,13.72,974.2,26.37,16.19,54.41,58.6,22.4,253052.0,96.08
