district,block,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp
Kodagu,B0140 virajpet,4984,50.02,27.74,10.0,88.5,2.09
Kolar,B0014 bangarapete,2073,52.64,26.13,15.0,85.0,3.0
Kolar,B0074 k g f,358,66.03,27.13,20.0,95.0,15.3
Kolar,B0079 kolar,8412,54.22,27.31,15.0,90.0,2.91
Kolar,B0094 malur,6782,51.18,26.63,15.0,85.0,1.79
Kolar,B0100 mulbagal,6811,49.64,28.12,10.0,90.0,1.35
Kolar,B0131 srinivasapur,6941,54.28,28.89,10.0,90.0,1.81
Kolar,B0151 k g f,3002,46.08,26.14,10.0,80.0,2.58
Koppal,B0044 gangavathi,16483,45.01,27.43,10.0,85.0,1.62
Koppal,B0081 koppal,15439,49.87,27.26,10.0,85.0,1.51
Koppal,B0085 kuknoor,6125,46.11,27.21,10.0,85.0,1.64
Koppal,B0088 kustagi,14933,48.19,26.89,10.0,85.0,-1.92
Koppal,B0143 yelburga,10327,47.13,28.28,10.0,85.0,1.77
Mandya,B0083 krishnaraja pet,5,79.0,11.4,68.0,88.0,-1.67
Mandya,B0090 maddur,5901,54.52,26.98,15.0,90.0,4.67
Mandya,B0093 malavally,7720,54.21,26.83,15.0,90.0,4.8
Mandya,B0103 nagamangala,6082,62.57,25.54,25.0,95.0,2.74
Mandya,B0109 pandavapura,4874,63.23,25.61,25.0,95.0,3.27
Mandya,B0132 srirangapatna,4035,57.24,28.16,15.0,90.0,4.63
Mandya,B0148 h.d.kote,108,52.73,27.64,15.0,90.0,1.76
Mandya,B0155 krishnaraja pet,6661,50.47,26.83,15.0,85.0,4.83
Mandya,B0158 mandya north,4277,56.91,25.82,20.0,90.0,3.39
Mandya,B0159 mandya south,2712,55.77,28.07,15.0,95.0,4.08
Mysuru,B0104 nanjanagud,8896,52.77,28.42,10.0,90.0,5.9
Mysuru,B0133 t.n.pura,6954,59.33,27.13,20.0,95.0,4.93
Mysuru,B0148 h.d.kote,5867,52.21,27.8,15.0,90.0,4.5
