idx,section,indicator,nfhs6_urban,nfhs6_rural,nfhs6_total,nfhs5_total
75,Population and Household Profile Urban Rural Total Total,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),8.5,18.4,14.0,14.3
76,Population and Household Profile Urban Rural Total Total,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),51.7,33.0,41.2,30.2
77,Population and Household Profile Urban Rural Total Total,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%) Blood Sugar Level among Adults (age 15 years and above),42.9,31.1,36.4,30.9
78,Population and Household Profile Urban Rural Total Total - Women,Blood sugar level - high (141-160 mg/dl)16 (%),8.8,8.0,8.3,5.7
79,Population and Household Profile Urban Rural Total Total - Women,Blood sugar level - very high (>160 mg/dl)16 (%),14.8,10.7,12.4,6.8
80,Population and Household Profile Urban Rural Total Total - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),25.8,20.0,22.3,14.0
81,Population and Household Profile Urban Rural Total Total - Men,Blood sugar level - high (141-160 mg/dl)16 (%),9.2,9.6,9.4,6.6
82,Population and Household Profile Urban Rural Total Total - Men,Blood sugar level - very high (>160 mg/dl)16 (%),17.8,13.0,14.8,7.6
83,Population and Household Profile Urban Rural Total Total - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%) Hypertension among Adults (age 15 years and above),29.7,23.9,26.1,15.6
84,Population and Household Profile Urban Rural Total Total - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.9,11.4,11.6,14.8
85,Population and Household Profile Urban Rural Total Total - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),6.6,6.3,6.4,6.2
86,Population and Household Profile Urban Rural Total Total - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.8,23.3,25.1,25.0
87,Population and Household Profile Urban Rural Total Total - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.1,14.4,15.4,17.2
88,Population and Household Profile Urban Rural Total Total - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),4.1,3.9,4.0,6.7
89,Population and Household Profile Urban Rural Total Total - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) Women's Empowerment (women age 15-49 years),32.4,25.7,28.2,26.9
90,Population and Household Profile Urban Rural Total Total - Men,Currently married women who usually participate in three household decisions17 (%),92.9,86.4,89.2,82.7
91,Population and Household Profile Urban Rural Total Total - Men,Women who worked in the last 12 months and were paid in cash (%),35.8,44.2,40.6,37.0
92,Population and Household Profile Urban Rural Total Total - Men,Women having a bank or savings account that they themselves use (%),94.4,95.0,94.7,88.7
93,Population and Household Profile Urban Rural Total Total - Men,Women having a mobile phone that they themselves use (%),85.9,61.7,72.4,61.8
94,Population and Household Profile Urban Rural Total Total - Men,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%) Gender Based Violence (age 18-49 years),93.6,77.4,84.1,84.6
95,Population and Household Profile Urban Rural Total Total - Men,Ever-married women age 18-49 years who have ever experienced spousal violence19 (%),6.9,19.9,14.1,44.4
96,Population and Household Profile Urban Rural Total Total - Men,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.2,3.5,2.9,5.8
97,Population and Household Profile Urban Rural Total Total - Men,Young women age 18-29 years who experienced sexual violence by age 18 (%) Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),0.0,0.2,0.1,2.1
98,Population and Household Profile Urban Rural Total Total - Men,Women age 15 years and above who use any kind of tobacco (%),2.3,9.4,6.4,8.6
99,Population and Household Profile Urban Rural Total Total - Men,Men age 15 years and above who use any kind of tobacco (%),18.1,28.6,24.2,27.3
100,Population and Household Profile Urban Rural Total Total - Men,Women age 15 years and above who consume alcohol (%),0.2,0.8,0.5,0.9
101,Population and Household Profile Urban Rural Total Total - Men,"Men age 15 years and above who consume alcohol (%) 15Excludes pregnant women and women with a birth in the preceding 2 months. 16Random blood sugar measurement. 17Decisions about health care for herself, making major household purchases, and visits to her family or relatives. 18Reusable sanitary pads, disposable sanitary pads, tampons, and menstrual cups are considered to be hygienic methods of protection. 19Spousal violence is defined as physical and/or sexual violence.",13.3,17.3,15.6,16.6
