state,division,revenue_district,district,academic_year,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size
KARNATAKA,Belagavi,Uttara Kannada,UTTARA KANNADA SIRSI,2022-23,1208,1147,94.95,5.05,88.41,87602.0,69780.0,3097.0,22.53,62.0,64.26,99.48,100.0,97.65,70.71,6.63,0.0,97.56,89.71,93.72,90.24,6.46,1.31,2.69,0.88,5.5,7.15,233.21,60.8
KARNATAKA,Kalaburagi,Vijayanagara,VIJAYANAGARA,2022-23,1361,1037,76.19,23.81,74.8,212575.0,149101.0,4439.0,33.59,41.41,60.22,97.97,95.08,45.23,94.99,7.62,0.0,84.76,74.06,73.48,92.09,3.71,1.47,4.97,1.41,8.5,6.48,229.13,143.8
KARNATAKA,Belagavi,Vijayapura,VIJAYAPURA,2022-23,2903,2029,69.89,30.11,73.23,435471.0,284489.0,8935.0,31.84,40.37,49.68,96.16,94.97,76.34,76.0,13.5,0.0,82.75,78.27,66.63,82.26,4.3,1.18,4.55,1.13,7.06,4.99,227.02,140.2
KARNATAKA,Kalaburagi,Yadgir,YADAGIRI,2022-23,1356,1006,74.19,25.81,74.93,222169.0,159454.0,3564.0,44.74,38.44,58.56,91.25,74.16,44.63,65.11,7.06,0.0,80.72,75.45,64.81,86.58,3.93,1.33,4.51,0.75,6.08,4.8,221.26,158.5
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,2023-24,1936,1461,75.46,24.54,71.18,317522.0,213346.0,6910.0,30.87,43.26,63.27,98.56,97.6,69.27,90.97,34.91,11.91,95.62,92.33,84.33,87.27,5.73,1.46,5.15,0.86,6.9,4.54,234.01,146.0
KARNATAKA,Kalaburagi,Ballari,BALLARI,2023-24,1118,713,63.77,36.23,60.55,254052.0,132940.0,2917.0,45.57,50.6,70.41,93.41,97.34,45.58,91.16,22.02,13.88,84.85,83.59,79.94,84.99,5.14,1.69,5.39,1.48,6.32,4.1,227.83,186.5
KARNATAKA,Belagavi,Belagavi,BELAGAVI,2023-24,1868,1489,79.71,20.29,75.86,318605.0,207802.0,6969.0,29.82,51.2,56.11,98.93,100.0,59.17,90.06,29.48,10.81,86.5,92.48,81.93,63.53,5.16,1.48,4.92,1.46,8.0,5.24,234.76,139.6
KARNATAKA,Belagavi,Belagavi,BELAGAVI CHIKKODI,2023-24,2539,1997,78.65,21.35,76.33,413268.0,277605.0,8203.0,33.84,43.53,63.12,98.05,99.9,93.59,78.12,84.33,8.31,96.95,89.13,91.79,78.97,6.68,1.57,4.84,1.55,7.96,5.42,232.51,139.0
KARNATAKA,Bengaluru,Bengaluru Rural,BENGALURU RURAL,2023-24,1357,1091,80.4,19.6,83.86,147728.0,51783.0,2755.0,18.8,56.12,51.54,99.73,99.91,69.2,94.96,54.17,9.26,80.29,96.33,83.59,92.94,7.36,1.62,3.19,1.01,8.92,6.05,228.43,47.5
KARNATAKA,Bengaluru,Bengaluru Urban,BENGALURU U NORTH,2023-24,1988,626,31.49,68.46,25.15,700988.0,126204.0,3459.0,36.49,77.68,58.02,99.68,98.4,54.63,88.18,50.96,24.92,77.16,91.37,96.01,79.87,14.54,2.9,6.88,2.37,6.64,6.62,237.79,201.6
KARNATAKA,Bengaluru,Bengaluru Urban,BENGALURU U SOUTH,2023-24,3029,1029,33.97,65.96,24.1,1144319.0,153612.0,4342.0,35.38,80.24,54.33,99.13,95.14,47.04,88.53,32.46,22.25,64.04,89.5,93.1,84.06,11.55,2.7,5.77,1.43,7.07,5.59,236.1,149.3
KARNATAKA,Kalaburagi,Bidar,BIDAR,2023-24,2151,1494,69.46,30.45,73.08,275186.0,142387.0,5781.0,24.63,45.29,49.58,89.22,82.8,50.07,61.04,10.58,4.35,75.5,46.99,61.91,67.2,5.68,1.3,5.19,1.79,6.53,2.0,232.3,95.3
KARNATAKA,Mysuru,Chamarajanagara,CHAMARAJANAGARA,2023-24,983,837,85.15,14.85,85.25,94812.0,61138.0,2675.0,22.86,48.97,54.92,97.01,99.04,56.63,96.06,30.59,16.25,89.61,96.3,97.37,91.04,4.22,1.71,3.26,1.33,9.68,6.89,239.09,73.0
KARNATAKA,Bengaluru,Chikkaballapura,CHIKKABALLAPURA,2023-24,1760,1513,85.97,13.98,88.58,151754.0,69284.0,3611.0,19.19,46.05,56.33,99.41,99.87,53.73,90.95,25.84,6.74,61.67,92.53,87.05,92.47,4.0,1.33,2.66,1.51,8.49,5.59,228.4,45.8
KARNATAKA,Mysuru,Chikkamagaluru,CHIKKAMANGALURU,2023-24,1575,1369,86.92,13.08,87.3,118162.0,63894.0,4029.0,15.86,49.32,53.91,98.76,100.0,77.5,93.72,28.2,8.55,84.15,92.33,92.62,91.09,5.42,1.25,3.38,1.94,8.18,6.55,236.18,46.7
KARNATAKA,Bengaluru,Chitradurga,CHITRADURGA,2023-24,2014,1761,87.44,12.56,85.3,204502.0,124262.0,5924.0,20.98,48.26,53.7,98.64,99.72,57.86,95.4,58.26,8.46,96.93,90.29,84.33,92.33,7.8,1.26,2.96,0.99,9.11,5.46,234.55,70.6
KARNATAKA,Mysuru,Dakshina Kannada,DAKSHINA KANNADA,2023-24,1482,1123,75.78,24.22,75.03,297075.0,115559.0,4308.0,26.82,79.99,61.61,100.0,100.0,94.21,86.46,98.84,20.3,99.38,99.91,99.91,97.86,8.42,2.5,4.77,0.95,6.35,7.72,243.01,102.9
KARNATAKA,Bengaluru,Davanagere,DAVANAGERE,2023-24,1690,1258,74.44,25.56,72.54,222978.0,110760.0,5123.0,21.62,46.4,52.64,99.05,99.92,78.78,95.07,17.33,12.0,93.24,54.45,81.32,86.72,10.56,1.34,4.18,1.34,8.95,5.39,235.31,88.0
KARNATAKA,Belagavi,Dharwad,DHARWAD,2023-24,1273,900,70.7,29.3,51.53,296220.0,164250.0,5291.0,31.04,61.56,67.19,98.67,96.78,68.22,95.56,21.78,12.33,87.0,89.33,82.22,79.78,7.66,1.89,6.19,1.23,8.05,5.52,234.83,182.5
KARNATAKA,Belagavi,Gadag,GADAG,2023-24,902,701,77.72,22.28,65.52,152423.0,107347.0,3644.0,29.46,46.19,61.72,99.86,100.0,77.46,93.58,88.16,15.41,99.14,96.86,91.58,84.59,6.51,1.48,6.11,1.4,9.52,4.96,233.52,153.1
KARNATAKA,Mysuru,Hassan,HASSAN,2023-24,2620,2323,88.66,11.34,88.82,173874.0,81850.0,5717.0,14.32,52.13,49.03,98.75,100.0,54.84,96.69,17.18,5.51,89.75,98.02,94.32,93.97,5.29,1.28,2.38,1.12,11.28,6.6,239.47,35.2
KARNATAKA,Belagavi,Haveri,HAVERI,2023-24,1561,1282,82.13,17.87,80.33,227476.0,159340.0,5883.0,27.08,45.49,65.82,99.06,98.44,71.14,95.09,18.64,11.0,90.64,93.68,94.7,76.76,6.27,1.32,4.49,2.53,7.73,5.29,232.89,124.3
KARNATAKA,Kalaburagi,Kalaburagi,KALBURGI,2023-24,3139,2094,66.71,33.29,67.79,454373.0,266460.0,8070.0,33.02,49.39,53.88,94.41,94.6,54.58,75.07,15.47,7.88,78.99,67.38,57.74,80.95,7.25,1.36,5.09,1.42,6.51,2.68,227.32,127.2
KARNATAKA,Mysuru,Kodagu,KODAGU,2023-24,528,409,77.46,22.54,92.05,67027.0,25689.0,1323.0,19.42,74.45,62.28,99.02,99.76,89.0,83.62,22.25,16.38,97.56,97.8,99.27,95.84,3.54,2.29,4.38,1.68,6.62,7.21,235.39,62.8
KARNATAKA,Bengaluru,Kolar,KOLAR,2023-24,2246,1882,83.79,16.21,85.53,184903.0,80774.0,4699.0,17.19,56.22,51.37,99.1,99.73,31.19,89.0,23.33,6.48,61.58,92.83,80.87,89.05,2.88,1.35,2.48,3.09,8.2,5.71,234.82,42.9
KARNATAKA,Kalaburagi,Koppal,KOPPAL,2023-24,1413,1052,74.45,25.55,75.58,247436.0,184579.0,4450.0,41.48,41.57,68.36,95.15,94.39,58.37,88.31,32.51,9.41,84.22,88.69,85.65,89.92,4.42,1.56,5.36,1.06,5.75,3.76,226.01,175.5
KARNATAKA,Mysuru,Mandya,MANDYA,2023-24,1969,1652,83.9,16.1,88.22,165321.0,81574.0,4285.0,19.04,51.13,53.44,99.09,99.94,71.43,98.06,41.34,8.05,99.15,87.89,89.59,94.13,5.43,1.49,3.15,1.04,6.38,5.65,235.39,49.4
KARNATAKA,Mysuru,Mysuru,MYSURU,2023-24,2655,2063,77.7,22.22,77.55,373828.0,153432.0,7345.0,20.89,56.43,58.19,99.9,100.0,92.0,97.24,89.34,13.96,96.9,98.06,98.06,90.79,5.75,1.71,3.58,2.09,11.78,7.76,239.96,74.4
KARNATAKA,Kalaburagi,Raichur,RAICHUR,2023-24,2168,1578,72.79,27.21,72.28,347556.0,238825.0,5382.0,44.37,44.74,70.44,96.51,93.03,42.84,91.38,19.33,8.05,70.98,83.4,67.55,89.61,5.24,1.63,4.75,0.92,7.56,3.74,231.4,151.3
KARNATAKA,Bengaluru,Ramanagara,RAMANAGARA,2023-24,1481,1270,85.75,14.25,84.13,114773.0,56726.0,2854.0,19.88,56.52,53.96,99.45,100.0,39.45,96.85,26.69,10.0,92.28,92.05,90.94,90.94,3.57,1.45,2.5,0.72,9.64,6.41,234.41,44.7
KARNATAKA,Bengaluru,Shivamogga,SHIVAMOGGA,2023-24,2300,1972,85.74,14.26,79.13,208187.0,116237.0,6139.0,18.93,54.49,63.54,100.0,100.0,81.14,89.15,55.43,8.01,90.26,93.81,89.76,89.05,6.39,1.35,3.63,2.24,8.22,5.94,237.68,58.9
KARNATAKA,Bengaluru,Tumakuru,TUMAKURU,2023-24,2416,2143,88.7,11.3,87.38,180123.0,90792.0,5282.0,17.19,58.88,44.53,99.44,99.77,44.56,96.87,26.64,8.59,87.63,95.33,89.55,91.13,2.58,1.3,2.44,1.06,8.81,6.58,236.97,42.4
