idx,section,indicator,nfhs6_urban,nfhs6_rural,nfhs6_total,nfhs5_total
60,Population and Household Profile Urban Rural Total Total,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%) Child Feeding Practices and Nutritional Status of Children,74.8,67.3,68.8,69.0
61,Population and Household Profile Urban Rural Total Total,Children under age 3 years breastfed within one hour of birth9 (%),48.0,50.8,50.1,41.8
62,Population and Household Profile Urban Rural Total Total,Children under age 6 months exclusively breastfed10 (%),54.5,56.2,55.8,63.7
63,Population and Household Profile Urban Rural Total Total,Children under age 6 months currently breastfeeding10 (%),91.0,96.0,95.6,95.1
64,Population and Household Profile Urban Rural Total Total,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water only/other milk10 (%),82.4,86.2,85.3,82.8
65,Population and Household Profile Urban Rural Total Total,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),58.8,59.7,59.5,45.9
66,Population and Household Profile Urban Rural Total Total,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",15.6,15.0,15.1,10.8
67,Population and Household Profile Urban Rural Total Total,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",18.2,15.2,16.3,12.3
68,Population and Household Profile Urban Rural Total Total,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",16.2,15.0,15.3,11.0
69,Population and Household Profile Urban Rural Total Total,Children under 5 years who are stunted (height-for-age)12 (%),23.9,30.9,29.3,35.5
70,Population and Household Profile Urban Rural Total Total,Children under 5 years who are wasted (weight-for-height)12 (%),16.5,19.8,19.0,19.3
71,Population and Household Profile Urban Rural Total Total,Children under 5 years who are severely wasted (weight-for-height)13 (%),4.6,5.4,5.2,7.7
72,Population and Household Profile Urban Rural Total Total,Children under 5 years who are underweight (weight-for-age)12 (%),25.3,33.8,31.8,32.1
73,Population and Household Profile Urban Rural Total Total,"Children under 5 years who are overweight (weight-for-height)14 (%) +LHV = Lady Health Visitor; ANM = Auxiliary Nurse Midwife 6Vaccinated with BCG, measles-containing vaccine (MCV)/MR/MMR/Measles, and 3 doses each of polio (excluding polio vaccine given at birth) and DPT or penta vaccine. 7Among children whose vaccination card was shown to the interviewer, percentage vaccinated with BCG, measles-containing vaccine (MCV)/MR/MMR/Measles, and 3 doses each of polio (excluding polio vaccine given at birth) and DPT or penta vaccine. 8Not including polio vaccination given at birth. 9Based on the last child born in the 3 years before the survey. 10Based on the youngest child living with the mother. 11Breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 Infant and Young Child Feeding Practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed infants 6-8 months and at least three times a day for breastfed children 9-23 months, and solid or semi-solid foods from at least four food groups not including the milk or milk products food group). 12Below -2 standard deviations, based on the WHO standard. 13Below -3 standard deviations, based on the WHO standard. 14Above +2 standard deviations, based on the WHO standard. Nutritional Status of Adults (age 15-49 years) Urban Rural Total Total",1.8,1.1,1.3,3.4
74,Population and Household Profile Urban Rural Total Total,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),13.2,22.5,19.7,18.7
75,Population and Household Profile Urban Rural Total Total,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),14.9,21.9,19.7,16.2
76,Population and Household Profile Urban Rural Total Total,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),42.8,25.5,30.7,24.0
77,Population and Household Profile Urban Rural Total Total,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%) Blood Sugar Level among Adults (age 15 years and above),36.3,23.0,27.3,22.9
78,Population and Household Profile Urban Rural Total Total - Women,Blood sugar level - high (141-160 mg/dl)16 (%),8.0,7.3,7.5,6.1
79,Population and Household Profile Urban Rural Total Total - Women,Blood sugar level - very high (>160 mg/dl)16 (%),11.9,8.0,9.1,6.3
80,Population and Household Profile Urban Rural Total Total - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),21.9,16.2,17.8,13.5
81,Population and Household Profile Urban Rural Total Total - Men,Blood sugar level - high (141-160 mg/dl)16 (%),8.8,8.8,8.8,7.3
82,Population and Household Profile Urban Rural Total Total - Men,Blood sugar level - very high (>160 mg/dl)16 (%),13.2,10.0,10.9,7.1
83,Population and Household Profile Urban Rural Total Total - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%) Hypertension among Adults (age 15 years and above),23.9,19.7,20.9,15.6
84,Population and Household Profile Urban Rural Total Total - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.5,8.9,9.4,12.4
85,Population and Household Profile Urban Rural Total Total - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),5.0,4.7,4.8,5.2
86,Population and Household Profile Urban Rural Total Total - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.5,17.8,19.4,21.3
87,Population and Household Profile Urban Rural Total Total - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.9,11.7,12.4,15.7
