Year,GP_ID,canonical_district,block_id,cluster_id,District,Block,Cluster,GP,block_name,block_district,cluster_name,gp_name
2023-24,5320,Bidar,B0007,C0470,bidar,aurad,gadikushnoor,shembelli,aurad,Bidar,gadikushnoor,shembelli
2023-24,3984,Bidar,B0007,C1004,bidar,aurad,koudgoan,ladha,aurad,Bidar,koudgoan,ladha
2023-24,1186,Bidar,B0007,C1209,bidar,aurad,mudhol (b),belkuni(ch),aurad,Bidar,mudhol (b),belkuni(ch)
2023-24,2549,Bidar,B0007,C1453,bidar,aurad,santhpur,hedgapur,aurad,Bidar,santhpur,hedgapur
2023-24,2549,Bidar,B0007,C2585,bidar,aurad,santhpur urdu,hedgapur,aurad,Bidar,santhpur urdu,hedgapur
2023-24,2857,Bidar,B0015,C0173,bidar,basavakalyan,basavaklyan urdu rural,hulsoor,basavakalyan,Bidar,basavaklyan urdu rural,hulsoor
2023-24,2971,Bidar,B0015,C0173,bidar,basavakalyan,basavaklyan urdu rural,islamapur,basavakalyan,Bidar,basavaklyan urdu rural,islamapur
2023-24,5660,Bidar,B0019,C0228,bidar,bhalki,bhatambra,telgaon,bhalki,Bidar,bhatambra,telgaon
2023-24,2332,Bidar,B0019,C0409,bidar,bhalki,dhannura (s),halbarga,bhalki,Bidar,dhannura (s),halbarga
2023-24,3990,Bidar,B0019,C1049,bidar,bhalki,lakhangaon,lakhangaon,bhalki,Bidar,lakhangaon,lakhangaon
2023-24,1522,Bidar,B0020,C0306,bidar,bidar,chatnalli,chatnalli,bidar,Bidar,chatnalli,chatnalli
2023-24,4180,Bidar,B0020,C1103,bidar,bidar,malegaon,malkapur,bidar,Bidar,malegaon,malkapur
2023-24,5115,Bidar,B0020,C1397,bidar,bidar,ranjolkheni,rekulagi,bidar,Bidar,ranjolkheni,rekulagi
2023-24,616,Bidar,B0020,C1475,bidar,bidar,shahgunj,aliamber,bidar,Bidar,shahgunj,aliamber
2023-24,4147,Raichur,B0039,C0466,raichur,devadurga,gabbur,maladakal,devadurga,Raichur,gabbur,maladakal
2023-24,213009382,Raichur,B0039,C0476,raichur,devadurga,galag,hosur sidddapur,devadurga,Raichur,galag,hosur sidddapur
2023-24,2806,Raichur,B0039,C0481,raichur,devadurga,ganadal,hosur siddapur,devadurga,Raichur,ganadal,hosur siddapur
2023-24,4585,Raichur,B0039,C0999,raichur,devadurga,kottadoddi,mustoor,devadurga,Raichur,kottadoddi,mustoor
2023-24,4147,Raichur,B0039,C1155,raichur,devadurga,masarakal,maladakal,devadurga,Raichur,masarakal,maladakal
2023-24,4585,Raichur,B0039,C1155,raichur,devadurga,masarakal,mustoor,devadurga,Raichur,masarakal,mustoor
2023-24,4585,Raichur,B0039,C2457,raichur,devadurga,mustur,mustoor,devadurga,Raichur,mustur,mustoor
2023-24,2025,Raichur,B0039,C1659,raichur,devadurga,urdu devadurga,galag,devadurga,Raichur,urdu devadurga,galag
2023-24,5227,Raichur,B0089,C1446,raichur,lingasugur,santekellur,santhekellur,lingasugur,Raichur,santekellur,santhekellur
2023-24,5029,Raichur,B0111,C0468,raichur,raichur,gadhar,purthipalli,raichur,Raichur,gadhar,purthipalli
2023-24,825,Raichur,B0111,C1424,raichur,raichur,sagamkunta,athakur,raichur,Raichur,sagamkunta,athakur
2023-24,1214,Koppal,B0088,C1663,koppal,kustagi,urdu kustagi,benakanal,kustagi,Koppal,urdu kustagi,benakanal
2023-24,3247,Gadag,B0043,C1668,gadag,gadag rural,urdu rural,kalasapura,gadag rural,Gadag,urdu rural,kalasapura
2023-24,3810,Gadag,B0043,C1668,gadag,gadag rural,urdu rural,kotumachagi,gadag rural,Gadag,urdu rural,kotumachagi
2023-24,1544,Dharwad,B0066,C2716,dharwad,hubli,urdu hubli,chennapur,hubli,Dharwad,urdu hubli,chennapur
2023-24,1794,Dharwad,B0066,C2716,dharwad,hubli,urdu hubli,devaragudihal,hubli,Dharwad,urdu hubli,devaragudihal
